dataset,model,scenario,Accuracy,F1,train_time_sec,model_size_mb,timestamp,params
drybean,catboost,clean,0.817907444668008,0.8178659682874558,0.8313391208648682,1.698404312133789,2026-02-02 18:20:28,"{'iterations': 429, 'learning_rate': 0.04694595034255959, 'depth': 8, 'l2_leaf_reg': 0.0115542217801539}"
drybean,catboost,high_cardinality,0.7746478873239436,0.77462507692806,0.8516120910644531,1.7199249267578125,2026-02-02 18:20:31,"{'iterations': 429, 'learning_rate': 0.04694595034255959, 'depth': 8, 'l2_leaf_reg': 0.0115542217801539}"
drybean,catboost,missingness,0.8058350100603622,0.8057483077577348,0.6741142272949219,1.7110614776611328,2026-02-02 18:20:29,"{'iterations': 429, 'learning_rate': 0.04694595034255959, 'depth': 8, 'l2_leaf_reg': 0.0115542217801539}"
drybean,lgbm,clean,0.8038229376257545,0.8036319428614846,0.4780747890472412,2.0826148986816406,,
drybean,lgbm,high_cardinality,0.7887323943661971,0.7885877491492465,0.7702558040618896,2.001331329345703,,
drybean,lgbm,missingness,0.8088531187122736,0.8087594374777227,0.7465672492980957,2.0742835998535156,,
drybean,mlp,clean,0.6810865191146881,0.6801071257072255,0.6642928123474121,0.44806861877441406,2026-02-02 18:20:32,"{'alpha': 2.6087863453193185e-05, 'learning_rate_init': 0.001289006262198419, 'hidden_layer_sizes': [231, 70]}"
drybean,mlp,high_cardinality,0.6146881287726358,0.6138968023683307,7.829451084136963,21.358285903930664,2026-02-02 18:20:44,"{'alpha': 2.6087863453193185e-05, 'learning_rate_init': 0.001289006262198419, 'hidden_layer_sizes': [231, 70]}"
drybean,mlp,missingness,0.6619718309859155,0.6603824236433966,0.7261409759521484,0.44806861877441406,2026-02-02 18:20:34,"{'alpha': 2.6087863453193185e-05, 'learning_rate_init': 0.001289006262198419, 'hidden_layer_sizes': [231, 70]}"
drybean,rf,clean,0.7766599597585513,0.7766020773856527,0.9005997180938721,23.748482704162598,2026-02-02 18:20:12,"{'n_estimators': 371, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 3}"
drybean,rf,high_cardinality,0.7474849094567404,0.7473721515398519,1.0486669540405273,23.568886756896973,2026-02-02 18:20:22,"{'n_estimators': 371, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 3}"
drybean,rf,missingness,0.7575452716297787,0.7575155757327301,0.8554508686065674,23.364266395568848,2026-02-02 18:20:17,"{'n_estimators': 371, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 3}"
drybean,tabnet,clean,0.5593561368209256,0.5572842308208563,0.667701005935669,1.6745176315307617,2026-02-02 18:21:41,"{'batch_size': 256, 'virtual_batch_size': 256, 'n_d': 24, 'n_a': 40, 'n_steps': 3, 'gamma': 1.2921446485352182, 'lambda_sparse': 2.9204338471814107e-05, 'momentum': 0.18786729384464404, 'learning_rate': 0.02157696745589683}"
drybean,tabnet,high_cardinality,0.5321931589537223,0.5267088339287744,0.42777490615844727,1.6892118453979492,2026-02-02 18:21:50,"{'batch_size': 256, 'virtual_batch_size': 256, 'n_d': 24, 'n_a': 40, 'n_steps': 3, 'gamma': 1.2921446485352182, 'lambda_sparse': 2.9204338471814107e-05, 'momentum': 0.18786729384464404, 'learning_rate': 0.02157696745589683}"
drybean,tabnet,missingness,0.5191146881287726,0.45790890836071557,0.5262181758880615,1.6743040084838867,2026-02-02 18:21:45,"{'batch_size': 256, 'virtual_batch_size': 256, 'n_d': 24, 'n_a': 40, 'n_steps': 3, 'gamma': 1.2921446485352182, 'lambda_sparse': 2.9204338471814107e-05, 'momentum': 0.18786729384464404, 'learning_rate': 0.02157696745589683}"
