dataset,model,scenario,overlap_count,jaccard,clean_top_k,perturbed_top_k,source_file
diamonds_v2,catboost,high_cardinality,10,1.0,carat_weight;color;clarity;meas_depth;meas_width;meas_length;cut;fancy_color_dominant_color;lab;fancy_color_intensity,carat_weight;color;clarity;meas_width;meas_length;meas_depth;lab;fancy_color_dominant_color;cut;fancy_color_intensity,shap_delta_diamonds_v2_catboost.json
diamonds_v2,catboost,missingness,8,0.6666666666666666,carat_weight;color;clarity;meas_depth;meas_width;meas_length;cut;fancy_color_dominant_color;lab;fancy_color_intensity,carat_weight;color;clarity;meas_width;lab;fancy_color_dominant_color;cut;meas_length;fluor_intensity;table_percent,shap_delta_diamonds_v2_catboost.json
diamonds_v2,lgbm,high_cardinality,8,0.6666666666666666,Unnamed: 0;carat_weight;color;clarity;table_percent;meas_width;meas_depth;depth_percent;symmetry;meas_length,Unnamed: 0;carat_weight;color;clarity;meas_depth;meas_length;depth_percent;high_card_1;table_percent;cut_quality,shap_delta_diamonds_v2_lgbm.json
diamonds_v2,lgbm,missingness,9,0.8181818181818182,Unnamed: 0;carat_weight;color;clarity;table_percent;meas_width;meas_depth;depth_percent;symmetry;meas_length,Unnamed: 0;carat_weight;color;clarity;depth_percent;meas_depth;meas_width;table_percent;symmetry;fluor_intensity,shap_delta_diamonds_v2_lgbm.json
diamonds_v2,mlp,high_cardinality,5,0.3333333333333333,carat_weight;color;clarity;cut;meas_length;table_percent;fluor_intensity;meas_width;girdle_max;girdle_min,cut;eye_clean;high_card_0;clarity;high_card_1;girdle_max;meas_depth;culet_size;table_percent;carat_weight,shap_delta_diamonds_v2_mlp.json
diamonds_v2,mlp,missingness,9,0.8181818181818182,carat_weight;color;clarity;cut;meas_length;table_percent;fluor_intensity;meas_width;girdle_max;girdle_min,color;clarity;cut;meas_length;meas_width;table_percent;carat_weight;girdle_min;meas_depth;girdle_max,shap_delta_diamonds_v2_mlp.json
diamonds_v2,rf,high_cardinality,7,0.5384615384615384,carat_weight;cut;meas_length;color;depth_percent;culet_condition;fluor_color;table_percent;clarity;meas_depth,carat_weight;high_card_1;cut;depth_percent;color;table_percent;polish;fluor_color;meas_depth;girdle_max,shap_delta_diamonds_v2_rf.json
diamonds_v2,rf,missingness,9,0.8181818181818182,carat_weight;cut;meas_length;color;depth_percent;culet_condition;fluor_color;table_percent;clarity;meas_depth,carat_weight;color;meas_depth;cut;depth_percent;table_percent;meas_length;fluor_color;girdle_max;culet_condition,shap_delta_diamonds_v2_rf.json
diamonds_v2,tabnet,high_cardinality,6,0.42857142857142855,carat_weight;meas_length;meas_width;color;clarity;cut_quality;fluor_intensity;symmetry;fluor_color;table_percent,carat_weight;color;meas_length;meas_width;clarity;high_card_1;cut_quality;meas_depth;lab;depth_percent,shap_delta_diamonds_v2_tabnet.json
diamonds_v2,tabnet,missingness,6,0.42857142857142855,carat_weight;meas_length;meas_width;color;clarity;cut_quality;fluor_intensity;symmetry;fluor_color;table_percent,carat_weight;meas_length;meas_width;color;clarity;cut_quality;culet_condition;lab;meas_depth;depth_percent,shap_delta_diamonds_v2_tabnet.json
drybean,catboost,high_cardinality,8,0.6666666666666666,V21;V6;V17;V5;V20;V18;V1;V19;V14;V22,V21;V6;V17;V5;V20;high_card_0;V18;V19;V1;high_card_1,shap_delta_drybean_catboost.json
drybean,catboost,missingness,9,0.8181818181818182,V21;V6;V17;V5;V20;V18;V1;V19;V14;V22,V21;V6;V17;V5;V20;V1;V18;V19;V14;V8,shap_delta_drybean_catboost.json
drybean,lgbm,high_cardinality,9,0.8181818181818182,V21;V6;V17;V5;V20;V1;V19;V18;V14;V22,V21;V6;V17;V5;V20;V19;high_card_1;V14;V1;V18,shap_delta_drybean_lgbm.json
drybean,lgbm,missingness,9,0.8181818181818182,V21;V6;V17;V5;V20;V1;V19;V18;V14;V22,V21;V6;V17;V20;V5;V1;V19;V14;V18;V8,shap_delta_drybean_lgbm.json
drybean,mlp,high_cardinality,8,0.6666666666666666,V21;V17;V6;V5;V20;V19;V18;V14;V1;V22,high_card_0;high_card_1;V21;V5;V20;V19;V17;V18;V14;V6,shap_delta_drybean_mlp.json
drybean,mlp,missingness,10,1.0,V21;V17;V6;V5;V20;V19;V18;V14;V1;V22,V21;V17;V5;V6;V20;V18;V14;V19;V1;V22,shap_delta_drybean_mlp.json
drybean,rf,high_cardinality,8,0.6666666666666666,V21;V20;V17;V6;V5;V1;V18;V19;V14;V22,V21;V20;V17;V5;V6;V1;high_card_1;high_card_0;V19;V18,shap_delta_drybean_rf.json
